id;year;country;event;artist;title;points_total;rank
134;1966;POR;3;Madalena Iglésias;Ele e ela;6;13
135;1966;AUT;3;Udo Jürgens;Merci Chérie;31;1
136;1966;S;3;Lill Lindfors & Svante Thuresson;Nygammal vals;16;2
137;1966;E;3;Raphael;Yo soy aquel;9;7
138;1966;CH;3;Madeleine Pascal;Ne vois-tu pas?;12;6
139;1966;MC;3;Tereza;Bien plus fort;0;17
140;1966;I;3;Domenico Modugno;Dio, come ti amo;0;17
141;1966;F;3;Dominique Walter;Chez nous;1;16
142;1966;NL;3;Milly Scott;Fernando en Philippo;2;15
143;1966;IRL;3;Dickie Rock;Come Back To Stay;14;4
144;1966;UK;3;Kenneth McKellar;A Man Without Love;8;9
145;1967;NL;3;Thérèse Steinmetz;Ring-Dinge-Ding;2;14
146;1967;LUX;3;Vicky Leandros;L'amour est bleu;17;4
147;1967;AUT;3;Peter Horton;Warum es hunderttausend Sterne gibt;2;14
148;1967;F;3;Noëlle Cordier;Il doit faire beau là-bas;20;3
149;1967;POR;3;Eduardo Nascimento;O vento mudou;3;12
150;1967;CH;3;Géraldine;Quel coeur vas-tu briser?;0;17
151;1967;S;3;Östen Warnerbring;Som en dröm;7;8
152;1967;SF;3;Fredi;Varjoon-suojaan;3;12
153;1967;D;3;Inge Brück;Anouschka;7;8
154;1967;B;3;Louis Neefs;Ik heb zorgen;8;7
155;1967;UK;3;Sandie Shaw;Puppet On A String;47;1
156;1967;E;3;Raphael;Hablemos des amor;9;6
157;1967;N;3;Kirsti Sparboe;Dukkemann;2;14
158;1967;MC;3;Minouche Barelli;Boum badaboum;10;5
159;1967;YUG;3;Lado Leskovar;Vse roze sveta;7;8
160;1967;I;3;Claudio Villa;Non andare più lontano;4;11
161;1967;IRL;3;Sean Dunphy;If I Could Choose;22;2
162;1968;POR;3;Carlos Mendes;Verão;5;11
163;1968;NL;3;Ronnie Tober;Morgen;1;16
164;1968;B;3;Claude Lombard;Quand tu reviendras;8;7
165;1968;AUT;3;Karel Gott;Tausend Fenster;2;13
166;1968;LUX;3;Chris Baldo & Sophie Garel;Nous vivrons d'amour;5;11
167;1968;CH;3;Gianni Mascolo;Guardando il sole;2;13
168;1968;MC;3;Line & Willy;À chacun sa chanson;8;7
